Date ,Price,Change
16/12/2018,0,0.00%
17/12/2018,0,0.00%
18/12/2018,0,0.00%
19/12/2018,0,0.00%
20/12/2018,0,0.00%
21/12/2018,0,0.00%
22/12/2018,0,0.00%
23/12/2018,0,0.00%
24/12/2018,0,0.00%
25/12/2018,0,0.00%
26/12/2018,0,0.00%
27/12/2018,0,0.00%
28/12/2018,0,0.00%
29/12/2018,0,0.00%
30/12/2018,0,0.00%
31/12/2018,0,0.00%
01/01/2019,0,0.00%
02/01/2019,0,0.00%
03/01/2019,0,0.00%
04/01/2019,0,0.00%
05/01/2019,0,0.00%
06/01/2019,0,0.00%
07/01/2019,0,0.00%
08/01/2019,0,0.00%
09/01/2019,0,0.00%
10/01/2019,0,0.00%
11/01/2019,0,0.00%
12/01/2019,0,0.00%
13/01/2019,0,0.00%
14/01/2019,0,0.00%
15/01/2019,0,0.00%
16/01/2019,0,0.00%
17/01/2019,0,0.00%
18/01/2019,0,0.00%
19/01/2019,0,0.00%
20/01/2019,0,0.00%
21/01/2019,0,0.00%
22/01/2019,0,0.00%
23/01/2019,0,0.00%
24/01/2019,0,0.00%
25/01/2019,0,0.00%
26/01/2019,0,0.00%
27/01/2019,0,0.00%
28/01/2019,0,0.00%
29/01/2019,,
30/01/2019,,
31/01/2019,,
01/02/2019,,
02/02/2019,,
03/02/2019,,
04/02/2019,,
05/02/2019,,
06/02/2019,,
07/02/2019,,
08/02/2019,,
09/02/2019,,
10/02/2019,,
11/02/2019,,
12/02/2019,,
13/02/2019,,
14/02/2019,,
15/02/2019,,
16/02/2019,,
17/02/2019,,
18/02/2019,,
19/02/2019,,
20/02/2019,,
21/02/2019,,
22/02/2019,,
23/02/2019,,
24/02/2019,,
25/02/2019,,
26/02/2019,,
27/02/2019,,
28/02/2019,,
01/03/2019,,
02/03/2019,,
03/03/2019,,
04/03/2019,,
05/03/2019,,
06/03/2019,,
07/03/2019,,
08/03/2019,,
09/03/2019,,
10/03/2019,,
11/03/2019,,
12/03/2019,,
13/03/2019,,
14/03/2019,,
15/03/2019,,
16/03/2019,,
17/03/2019,,
18/03/2019,,
19/03/2019,,
20/03/2019,,
21/03/2019,,
22/03/2019,,
23/03/2019,,
24/03/2019,,
25/03/2019,,
26/03/2019,,
27/03/2019,,
28/03/2019,,
29/03/2019,,
30/03/2019,,
31/03/2019,,
01/04/2019,,
02/04/2019,,
03/04/2019,,
04/04/2019,,
05/04/2019,,
06/04/2019,,
07/04/2019,,
08/04/2019,,
09/04/2019,,
10/04/2019,,
11/04/2019,,
12/04/2019,,
13/04/2019,,
14/04/2019,,
15/04/2019,,
16/04/2019,,
17/04/2019,,
18/04/2019,,
19/04/2019,,
20/04/2019,,
21/04/2019,,
22/04/2019,,
23/04/2019,,
24/04/2019,,
25/04/2019,,
26/04/2019,,
27/04/2019,,
28/04/2019,,
29/04/2019,,
30/04/2019,,
01/05/2019,,
02/05/2019,,
03/05/2019,,
04/05/2019,,
05/05/2019,,
06/05/2019,,
07/05/2019,,
08/05/2019,,
09/05/2019,,
10/05/2019,,
11/05/2019,,
12/05/2019,,
13/05/2019,,
14/05/2019,,
15/05/2019,,
16/05/2019,,
17/05/2019,,
18/05/2019,,
19/05/2019,,
20/05/2019,,
21/05/2019,,
22/05/2019,,
23/05/2019,,
24/05/2019,,
25/05/2019,,
26/05/2019,,
27/05/2019,,
28/05/2019,,
29/05/2019,,
30/05/2019,,
31/05/2019,,
01/06/2019,,
02/06/2019,,
03/06/2019,,
04/06/2019,,
05/06/2019,,
06/06/2019,,
07/06/2019,,
08/06/2019,,
09/06/2019,,
10/06/2019,,
11/06/2019,,
12/06/2019,,
13/06/2019,,
14/06/2019,,
15/06/2019,,
16/06/2019,,
17/06/2019,,
18/06/2019,,
19/06/2019,,
20/06/2019,,
21/06/2019,,
22/06/2019,,
23/06/2019,,
24/06/2019,,
25/06/2019,,
26/06/2019,,
27/06/2019,,
28/06/2019,,
29/06/2019,,
30/06/2019,,
01/07/2019,,
02/07/2019,,
03/07/2019,,
04/07/2019,,
05/07/2019,,
06/07/2019,,
07/07/2019,,
08/07/2019,,
09/07/2019,,
10/07/2019,,
11/07/2019,,
12/07/2019,,
13/07/2019,,
14/07/2019,,
15/07/2019,,
16/07/2019,,
17/07/2019,,
18/07/2019,,
19/07/2019,,
20/07/2019,,
21/07/2019,,
22/07/2019,,
23/07/2019,,
24/07/2019,,
25/07/2019,,
26/07/2019,,
27/07/2019,,
28/07/2019,,
29/07/2019,,
30/07/2019,,
31/07/2019,,
01/08/2019,,
02/08/2019,,
03/08/2019,,
04/08/2019,,
05/08/2019,,
06/08/2019,,
07/08/2019,,
08/08/2019,,
09/08/2019,,
10/08/2019,,
11/08/2019,,
12/08/2019,,
13/08/2019,,
14/08/2019,,
15/08/2019,,
16/08/2019,,
17/08/2019,,
18/08/2019,,
19/08/2019,,
20/08/2019,,
21/08/2019,,
22/08/2019,,
23/08/2019,,
24/08/2019,,
25/08/2019,,
26/08/2019,,
27/08/2019,,
28/08/2019,,
29/08/2019,,
30/08/2019,,
31/08/2019,,
01/09/2019,,
02/09/2019,,
03/09/2019,,
04/09/2019,,
05/09/2019,,
06/09/2019,,
07/09/2019,,
08/09/2019,,
09/09/2019,,
10/09/2019,,
11/09/2019,,
12/09/2019,,
13/09/2019,,
14/09/2019,,
15/09/2019,,
16/09/2019,,
17/09/2019,,
18/09/2019,,
19/09/2019,,
20/09/2019,,
21/09/2019,,
22/09/2019,,
23/09/2019,,
24/09/2019,,
25/09/2019,,
26/09/2019,,
27/09/2019,,
28/09/2019,,
29/09/2019,,
30/09/2019,,
01/10/2019,,
02/10/2019,,
03/10/2019,,
04/10/2019,,
05/10/2019,,
06/10/2019,,
07/10/2019,,
08/10/2019,,
09/10/2019,,
10/10/2019,,
11/10/2019,,
12/10/2019,,
13/10/2019,,
14/10/2019,,
15/10/2019,,
16/10/2019,,
17/10/2019,,
18/10/2019,,
19/10/2019,,
20/10/2019,,
21/10/2019,,
22/10/2019,,
23/10/2019,,
24/10/2019,,
25/10/2019,,
26/10/2019,,
27/10/2019,,
28/10/2019,,
29/10/2019,,
30/10/2019,,
31/10/2019,,
01/11/2019,,
02/11/2019,,
03/11/2019,,
04/11/2019,,
05/11/2019,,
06/11/2019,,
07/11/2019,,
08/11/2019,,
09/11/2019,,
10/11/2019,,
11/11/2019,,
12/11/2019,,
13/11/2019,,
14/11/2019,,
15/11/2019,,
16/11/2019,,
17/11/2019,,
18/11/2019,,
19/11/2019,,
20/11/2019,,
21/11/2019,,
22/11/2019,,
23/11/2019,,
24/11/2019,,
25/11/2019,,
26/11/2019,,
27/11/2019,,
28/11/2019,,
29/11/2019,,
30/11/2019,,
01/12/2019,,
02/12/2019,,
03/12/2019,,
04/12/2019,,
05/12/2019,,
06/12/2019,,
07/12/2019,,
08/12/2019,,
09/12/2019,,
10/12/2019,,
11/12/2019,,
12/12/2019,,
13/12/2019,,
14/12/2019,,
15/12/2019,,
16/12/2019,,
17/12/2019,,
18/12/2019,,
19/12/2019,,
20/12/2019,,
21/12/2019,,
22/12/2019,,
23/12/2019,,
24/12/2019,,
25/12/2019,,
26/12/2019,,
27/12/2019,,
28/12/2019,,
29/12/2019,,
30/12/2019,,
31/12/2019,,
01/01/2020,,
02/01/2020,,
03/01/2020,,
04/01/2020,,
05/01/2020,,
06/01/2020,,
07/01/2020,,
08/01/2020,,
09/01/2020,,
10/01/2020,,
11/01/2020,,
12/01/2020,,
13/01/2020,,
14/01/2020,,
15/01/2020,,
16/01/2020,,
17/01/2020,,
18/01/2020,,
19/01/2020,,
20/01/2020,,
21/01/2020,,
22/01/2020,,
23/01/2020,,
24/01/2020,,
25/01/2020,,
26/01/2020,,
27/01/2020,,
28/01/2020,,
29/01/2020,,
30/01/2020,,
31/01/2020,,
01/02/2020,,
02/02/2020,,
03/02/2020,,
04/02/2020,,
05/02/2020,,
06/02/2020,,
07/02/2020,,
08/02/2020,,
09/02/2020,,
10/02/2020,,
11/02/2020,,
12/02/2020,,
13/02/2020,,
14/02/2020,,
15/02/2020,,
16/02/2020,,
17/02/2020,,
18/02/2020,,
19/02/2020,,
20/02/2020,,
21/02/2020,,
22/02/2020,,
23/02/2020,,
24/02/2020,,
25/02/2020,,
26/02/2020,,
27/02/2020,,
28/02/2020,,
29/02/2020,,
01/03/2020,,
02/03/2020,,
03/03/2020,,
04/03/2020,,
05/03/2020,,
06/03/2020,,
07/03/2020,,
08/03/2020,,
09/03/2020,,
10/03/2020,,
11/03/2020,,
12/03/2020,,
13/03/2020,,
14/03/2020,,
15/03/2020,,
16/03/2020,,
17/03/2020,,
18/03/2020,,
19/03/2020,,
20/03/2020,,
21/03/2020,,
22/03/2020,,
23/03/2020,,
24/03/2020,,
25/03/2020,,
26/03/2020,,
27/03/2020,,
28/03/2020,,
29/03/2020,,
30/03/2020,,
31/03/2020,,
01/04/2020,,
02/04/2020,,
03/04/2020,,
04/04/2020,,
05/04/2020,,
06/04/2020,,
07/04/2020,,
08/04/2020,,
09/04/2020,0.693100533,0.00%
10/04/2020,0.681692054,-1.65%
11/04/2020,0.665202405,-2.42%
12/04/2020,0.712238195,7.07%
13/04/2020,0.692953004,-2.71%
14/04/2020,0.676143059,-2.43%
15/04/2020,0.641246825,-5.16%
16/04/2020,0.74787505,16.63%
17/04/2020,0.742262915,-0.75%
18/04/2020,0.773871927,4.26%
19/04/2020,0.737882891,-4.65%
20/04/2020,0.713353901,-3.32%
21/04/2020,0.706358146,-0.98%
22/04/2020,0.726793748,2.89%
23/04/2020,0.695264403,-4.34%
24/04/2020,0.667648097,-3.97%
25/04/2020,0.631588574,-5.40%
26/04/2020,0.683525627,8.22%
27/04/2020,0.776166347,13.55%
28/04/2020,0.784430849,1.06%
29/04/2020,0.836503919,6.64%
30/04/2020,0.744513988,-11.00%
01/05/2020,0.780465205,4.83%
02/05/2020,0.817342748,4.73%
03/05/2020,0.777236075,-4.91%
04/05/2020,0.759989159,-2.22%
05/05/2020,0.842656994,10.88%
06/05/2020,0.848936048,0.75%
07/05/2020,0.890746299,4.93%
08/05/2020,0.897676654,0.78%
09/05/2020,0.897257809,-0.05%
10/05/2020,0.797180505,-11.15%
11/05/2020,0.771017803,-3.28%
12/05/2020,0.795659647,3.20%
13/05/2020,0.771340341,-3.06%
14/05/2020,0.824158545,6.85%
15/05/2020,0.823470714,-0.08%
16/05/2020,0.846111881,2.75%
17/05/2020,0.813939481,-3.80%
18/05/2020,0.853600774,4.87%
19/05/2020,0.843016074,-1.24%
20/05/2020,0.814904309,-3.33%
21/05/2020,0.761062071,-6.61%
22/05/2020,0.820424596,7.80%
23/05/2020,0.800519474,-2.43%
24/05/2020,0.785920291,-1.82%
25/05/2020,0.815431469,3.75%
26/05/2020,0.788279367,-3.33%
27/05/2020,0.746088394,-5.35%
28/05/2020,0.743205031,-0.39%
29/05/2020,0.745466168,0.30%
30/05/2020,0.803407046,7.77%
31/05/2020,0.788328387,-1.88%
01/06/2020,0.814385642,3.31%
02/06/2020,0.786257756,-3.45%
03/06/2020,0.828938802,5.43%
04/06/2020,0.885754418,6.85%
05/06/2020,0.897815422,1.36%
06/06/2020,0.873588332,-2.70%
07/06/2020,0.896597648,2.63%
08/06/2020,0.926718921,3.36%
09/06/2020,0.943683829,1.83%
10/06/2020,1.062424886,12.58%
11/06/2020,1.00198121,-5.69%
12/06/2020,1.077964607,7.58%
13/06/2020,1.157510378,7.38%
14/06/2020,1.141829617,-1.35%
15/06/2020,1.092008536,-4.36%
16/06/2020,1.125514217,3.07%
17/06/2020,1.100559933,-2.22%
18/06/2020,1.159874913,5.39%
19/06/2020,1.373231424,18.39%
20/06/2020,1.354276006,-1.38%
21/06/2020,1.412446226,4.30%
22/06/2020,1.526693767,8.09%
23/06/2020,1.579002965,3.43%
24/06/2020,1.922890297,21.78%
25/06/2020,1.870635845,-2.72%
26/06/2020,1.896899585,1.40%
27/06/2020,1.674992474,-11.70%
28/06/2020,1.831197135,9.33%
29/06/2020,1.806096454,-1.37%
30/06/2020,1.966181012,8.86%
01/07/2020,2.32976765,18.49%
02/07/2020,2.472257412,6.12%
03/07/2020,2.495933238,0.96%
04/07/2020,2.427644981,-2.74%
05/07/2020,2.496466018,2.83%
06/07/2020,2.450341504,-1.85%
07/07/2020,2.545811293,3.90%
08/07/2020,2.830105909,11.17%
09/07/2020,2.911923479,2.89%
10/07/2020,2.904472797,-0.26%
11/07/2020,2.797990697,-3.67%
12/07/2020,2.768776994,-1.04%
13/07/2020,2.542128258,-8.19%
14/07/2020,2.719028532,6.96%
15/07/2020,3.07437543,13.07%
16/07/2020,3.094348973,0.65%
17/07/2020,3.336835265,7.84%
18/07/2020,3.413860601,2.31%
19/07/2020,3.364205903,-1.45%
20/07/2020,3.88189756,15.39%
21/07/2020,3.516002684,-9.43%
22/07/2020,3.520454099,0.13%
23/07/2020,3.334322532,-5.29%
24/07/2020,3.352194254,0.54%
25/07/2020,3.592202361,7.16%
26/07/2020,3.116002909,-13.26%
27/07/2020,2.870280372,-7.89%
28/07/2020,3.372659892,17.50%
29/07/2020,3.260304034,-3.33%
30/07/2020,3.58613399,9.99%
31/07/2020,3.909509948,9.02%
01/08/2020,3.761732823,-3.78%
02/08/2020,4.262109346,13.30%
03/08/2020,4.147393006,-2.69%
04/08/2020,4.527019364,9.15%
05/08/2020,4.36360211,-3.61%
06/08/2020,4.457000373,2.14%
07/08/2020,4.302553465,-3.47%
08/08/2020,4.335725338,0.77%
09/08/2020,4.265099544,-1.63%
10/08/2020,4.842310527,13.53%
11/08/2020,4.830035746,-0.25%
12/08/2020,5.628336977,16.53%
13/08/2020,5.059953671,-10.10%
14/08/2020,6.181828077,22.17%
15/08/2020,6.769421481,9.51%
16/08/2020,6.507136291,-3.87%
17/08/2020,6.219212292,-4.42%
18/08/2020,6.02265691,-3.16%
19/08/2020,6.114062712,1.52%
20/08/2020,6.189392172,1.23%
21/08/2020,5.322700527,-14.00%
22/08/2020,5.836586557,9.65%
23/08/2020,5.671840163,-2.82%
24/08/2020,6.236318872,9.95%
25/08/2020,5.881925946,-5.68%
26/08/2020,6.135978985,4.32%
27/08/2020,6.099171105,-0.60%
28/08/2020,6.814670896,11.73%
29/08/2020,6.536614174,-4.08%
30/08/2020,7.27353715,11.27%
31/08/2020,7.433648793,2.20%
01/09/2020,7.180669428,-3.40%
02/09/2020,6.405669926,-10.79%
03/09/2020,5.346539101,-16.53%
04/09/2020,5.345815544,-0.01%
05/09/2020,4.401652843,-17.66%
06/09/2020,4.959107211,12.66%
07/09/2020,4.60906843,-7.06%
08/09/2020,4.237646917,-8.06%
09/09/2020,4.984447726,17.62%
10/09/2020,5.622937612,12.81%
11/09/2020,5.967755425,6.13%
12/09/2020,6.108241838,2.35%
13/09/2020,5.389128616,-11.77%
14/09/2020,5.175031625,-3.97%
15/09/2020,4.489392128,-13.25%
16/09/2020,4.78624442,6.61%
17/09/2020,4.502392992,-5.93%
18/09/2020,4.522986657,0.46%
19/09/2020,4.297081363,-4.99%
20/09/2020,4.187143871,-2.56%
21/09/2020,3.652040436,-12.78%
22/09/2020,4.278508919,17.15%
23/09/2020,3.690154149,-13.75%
24/09/2020,4.40871779,19.47%
25/09/2020,4.949506116,12.27%
26/09/2020,5.271958692,6.51%
27/09/2020,5.158498345,-2.15%
28/09/2020,4.909004684,-4.84%
29/09/2020,4.948891766,0.81%
30/09/2020,4.746125476,-4.10%
01/10/2020,4.650117864,-2.02%
02/10/2020,4.419322687,-4.96%
03/10/2020,4.410924812,-0.19%
04/10/2020,4.437582544,0.60%
05/10/2020,4.187301037,-5.64%
06/10/2020,3.618792009,-13.58%
07/10/2020,3.926194386,8.49%
08/10/2020,3.956002826,0.76%
09/10/2020,4.317519702,9.14%
10/10/2020,4.304194327,-0.31%
11/10/2020,4.137595273,-3.87%
12/10/2020,4.655358441,12.51%
13/10/2020,4.512569365,-3.07%
14/10/2020,4.281917048,-5.11%
15/10/2020,3.914286321,-8.59%
16/10/2020,3.899556548,-0.38%
17/10/2020,3.958100753,1.50%
18/10/2020,3.950755837,-0.19%
19/10/2020,3.721678718,-5.80%
20/10/2020,3.697686907,-0.64%
21/10/2020,3.527550067,-4.60%
22/10/2020,3.899265917,10.54%
23/10/2020,3.793895634,-2.70%
24/10/2020,3.77147787,-0.59%
25/10/2020,3.663924078,-2.85%
26/10/2020,3.581504415,-2.25%
27/10/2020,3.539752847,-1.17%
28/10/2020,3.602315641,1.77%
29/10/2020,3.276091205,-9.06%
30/10/2020,3.109845496,-5.07%
31/10/2020,3.024225513,-2.75%
01/11/2020,2.908522014,-3.83%
02/11/2020,2.632948359,-9.47%
03/11/2020,2.573996837,-2.24%
04/11/2020,2.731196292,6.11%
05/11/2020,3.170133787,16.07%
06/11/2020,3.520525993,11.05%
07/11/2020,3.799371563,7.92%
08/11/2020,4.418158337,16.29%
09/11/2020,4.184728492,-5.28%
10/11/2020,4.75107796,13.53%
11/11/2020,4.036524172,-15.04%
12/11/2020,3.76366258,-6.76%
13/11/2020,4.207972365,11.81%
14/11/2020,4.318256434,2.62%
15/11/2020,4.14375541,-4.04%
16/11/2020,4.425697598,6.80%
17/11/2020,5.114905641,15.57%
18/11/2020,4.895181127,-4.30%
19/11/2020,4.930681766,0.73%
20/11/2020,5.127787748,4.00%
21/11/2020,5.236153632,2.11%
22/11/2020,5.055964239,-3.44%
23/11/2020,5.430616082,7.41%
24/11/2020,5.210819115,-4.05%
25/11/2020,4.793744671,-8.00%
26/11/2020,4.285205145,-10.61%
27/11/2020,4.112311783,-4.03%
28/11/2020,4.271587781,3.87%
29/11/2020,4.550773665,6.54%
30/11/2020,4.750955777,4.40%
01/12/2020,4.770195773,0.40%
02/12/2020,5.261097426,10.29%
03/12/2020,5.222693735,-0.73%
04/12/2020,5.020711542,-3.87%
05/12/2020,5.228118973,4.13%
06/12/2020,5.16708871,-1.17%
07/12/2020,5.172942771,0.11%
08/12/2020,4.674744654,-9.63%
09/12/2020,4.881864646,4.43%
10/12/2020,4.617996383,-5.41%
11/12/2020,4.37579107,-5.24%
12/12/2020,4.472704281,2.21%
13/12/2020,4.715404838,5.43%
14/12/2020,5.251380282,11.37%
15/12/2020,5.438718463,3.57%
16/12/2020,5.249596009,-3.48%
17/12/2020,5.283241495,0.64%
18/12/2020,6.114449468,15.73%
19/12/2020,6.139654894,0.41%
20/12/2020,5.918669946,-3.60%
21/12/2020,6.252997376,5.65%
22/12/2020,7.339725214,17.38%
23/12/2020,7.273219962,-0.91%
24/12/2020,7.501106003,3.13%
25/12/2020,7.364822885,-1.82%
26/12/2020,8.086680372,9.80%
27/12/2020,8.083594499,-0.04%
28/12/2020,7.98210016,-1.26%
29/12/2020,7.774791222,-2.60%
30/12/2020,7.311960944,-5.95%
31/12/2020,7.248558206,-0.87%
01/01/2021,8.461808505,16.74%
02/01/2021,8.157139024,-3.60%
03/01/2021,9.538964144,16.94%
04/01/2021,11.14635802,16.85%
05/01/2021,12.57647806,12.83%
06/01/2021,12.09758867,-3.81%
07/01/2021,11.60526644,-4.07%
08/01/2021,11.77927344,1.50%
09/01/2021,13.35933615,13.41%
10/01/2021,14.28025418,6.89%
11/01/2021,12.7606443,-10.64%
12/01/2021,14.42155787,13.02%
13/01/2021,15.66441643,8.62%
14/01/2021,14.58659894,-6.88%
15/01/2021,15.00665348,2.88%
16/01/2021,15.6170047,4.07%
17/01/2021,15.79137255,1.12%
18/01/2021,15.4671028,-2.05%
19/01/2021,15.42519192,-0.27%
